mixture_collection	indiv	1. Alaska	2. Central	3. Southwest	4. East	5. WesternBoreal	State	Town	Stage	longitude	latitude
mixture	08N33156	0.0000300776797621257	0.999969922317518	0.00000000000109009639732297	0.000000000000000186154932603917	0.00000000000163049677023437	Jinotega	Turrialba	Wintering	-86.05	13.2
mixture	08N33176	0.20902793497119	0.790971479743202	0.00000000254495329540002	0.000000000000000000000365382979532049	0.000000582740653589831	Jinotega	Turrialba	Wintering	-86.05	13.2
mixture	08N33181	0.190067473318224	0.0601971166348997	0.73250881077358	0.00000000000000000000000000397619269388149	0.0172265992732987	Jinotega	Turrialba	Wintering	-86.05	13.2
mixture	08N33185	0.00026716195908839	0.999732804547262	0.000000030310270273176	0.0000000000000000000434783546774471	0.00000000318337877203747	Jinotega	Turrialba	Wintering	-86.05	13.2
mixture	08N37461	0.00000000140983332539382	0.000000000000000000000000000000128361503813435	0.00132548339387187	0.000000000000000000000000000000000000000000000000000000000000000000235448427460929	0.998674515196295	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	08N37462	0.0000000177832479796865	0.00000000000000000000000000000000000832329926295227	0.0000959629983308883	0.0000000000000000000000000000000000000000000000000000000000000000000000000751740480930068	0.999904019218423	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	08N37463	0.00000000693331550946519	0.00000000000000000000000000000000446818633388147	0.000314750538224171	0.0000000000000000000000000000000000000000000000000000000000000000000000411495128278453	0.999685242528461	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	08N37587	0.00000018638624316407	0.000167146476581213	0.999808739221531	0.0000000000000000000000000264407713544927	0.0000239279156442726	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N0725	0.00000000000913556342240008	0.99999999999086	0.0000000000000000513492877698309	0.00000000000000497603084572635	0.000000000000000000138703155513294	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	09N0726	0.000000194941850742639	0.999999756047476	0.0000000490104097991607	0.0000000000000000344945784390762	0.000000000000262956342705811	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	09N0727	0.0000000000000077909822879232	0.999999999999956	0.000000000000000000615862974452182	0.0000000000000599527720176642	0.00000000000000000000174835633658768	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	09N0731	0.00000119968394483352	0.999996926811571	0.00000187346440190831	0.0000000000000000106489510366997	0.0000000000400835397751149	CR	Paisley	Wintering	-82.95	8.75
mixture	09N0732	0.288843782117898	0.711143793475396	0.0000100040038685782	0.0000000000000000000434860464343356	0.00000242040283676846	CR	Paisley	Wintering	-82.95	8.75
mixture	09N0733	0.981412930339042	0.018579339801771	0.00000748741455701931	0.00000000000000000000000412708127495333	0.000000242444628105551	CR	Paisley	Wintering	-82.95	8.75
mixture	09N10096	0.00000511877388251527	0.997981034628789	0.00201381728715395	0.000000000000000000162451518185983	0.0000000293101754366962	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	09N10128	0.000000000000000000000000135615528455632	0.99999999392815	0.000000000000000000000000676143945758539	0.00000000607185146633688	0.0000000000000000000000000000235106324667112	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	09N10153	0.0000160899441305058	0.999983824943152	0.0000000807047684414157	0.00000000000000000532942138674041	0.00000000440794811248588	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	09N10176	0.0335988157236589	0.964652792993758	0.000582263145578133	0.0000000000000000000036102941634749	0.00116612813700421	Sonsonate	Izalco	Wintering	-89.65	13.8
mixture	09N10409	0.000000000000680341954684456	0.999999999951486	0.0000000000477652120812973	0.000000000000000286039346680207	0.0000000000000670117822218144	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	09N10845	0.000000000000001308020433916	0.999999999998737	0.0000000000000000143053784397474	0.0000000000012595423695024	0.0000000000000000000492194369218994	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	09N2196	0.00127933544886545	0.57097285277151	0.420402085835559	0.0000000000000000000591690061653251	0.00734572594406441	Guanacaste	Guardia	Wintering	-85.62	10.62
mixture	09N2259	0.832620157109418	0.000000000105966029183334	0.167298960638433	0.00000000000000000000000000000000000018608322668789	0.0000808821461820684	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	09N2260	0.00000000000641857439467316	0.993197948815269	0.00680205115264633	0.000000000000000250667623885896	0.0000000000256661050346805	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	09N2280	0.254766726371446	0.730105097138432	0.0151250898642546	0.00000000000000000000101800449153599	0.00000308662586636818	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	09N2290	0.996460965101152	0.000122976877856329	0.00312149500719488	0.000000000000000000000000268895390694509	0.000294563013798347	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2291	0.00483223113379846	0.00000000000000000454256872370753	0.99091659746015	0.00000000000000000000000000000000000000000000000071235625406609	0.00425117140605045	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2302	0.00355825416187485	0.000000000313968007556042	0.978746990460618	0.00000000000000000000000000000000000169092153278131	0.0176947550635389	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2303	0.00000476632691216996	0.0000000000489820742230587	0.99987466240254	0.000000000000000000000000000000000000186058198692419	0.0001205712215672	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2348	0.00388865346581782	0.0000000000720873751138556	0.357648383155614	0.000000000000000000000000000000000000119959438150327	0.638462963306479	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	09N2359	0.0000000740307495564396	0.000000000000000000000000000000956038043162559	0.00133194760648963	0.000000000000000000000000000000000000000000000000000000000000000000173677226240347	0.99866797836276	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	09N2360	0.000000159081560853957	0.000000000000000000000000000000000011385493821102	0.000633157795987515	0.00000000000000000000000000000000000000000000000000000000000000000000000000333786154739255	0.999366683122452	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	09N2373	0.00000025258512083646	0.993905807654181	0.00609393555063086	0.000000000000000000280718663088657	0.00000000421006881322978	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2374	0.00000499945566506407	0.000406220955594471	0.999588304084547	0.000000000000000000000000296071803365785	0.000000475504195296064	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2405	0.0503079735453344	0.00000000000133569146395547	0.913540373737247	0.0000000000000000000000000000000000000003129643370323	0.0361516527160828	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2418	0.000000000661949784888561	0.993728003187561	0.00627195682144145	0.0000000000000000480188837724595	0.0000000393290486312323	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2419	0.000000000729233984505177	0.00000000000246026520806815	0.984581479092858	0.000000000000000000000000000000000000626208791181901	0.015418520175446	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2421	0.00000000021110052811033	0.000000000000000000000000116792602288095	0.999899426925238	0.0000000000000000000000000000000000000000000000000000000952637227367676	0.000100572863661577	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2437	0.0000017339817402055	0.0000000000000000957998281757246	0.999975834717787	0.00000000000000000000000000000000000000000000228138407120663	0.0000224313004700079	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2440	0.000000289417093727799	0.999999710537214	0.0000000000455303282394602	0.000000000000000031525132790621	0.000000000000161664120645123	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2481	0.660308020008766	0.013168023743497	0.243121100573706	0.000000000000000000000000955433309188474	0.0834028556740307	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2486	0.0000000000000000000000000000143389146193685	0.999971137608366	0.00000000000000000000000000000000079231395101562	0.0000288623916324753	0.00000000000000000000000000000000000114129977081078	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2488	0.0000000210324246515765	0.0000000000000000000000000000000904088453256327	0.0197995710795287	0.00000000000000000000000000000000000000000000000000000000000000000000410120563439318	0.980200407888047	Guanacaste	Tamarindo	Wintering	-85.83	10.32
mixture	09N2508	0.0000000000245699744660161	0.000000000000000000330873883254066	0.999852994378763	0.0000000000000000000000000000000000000000000000903351915241789	0.00014700559666706	Guanacaste	Tamarindo	Wintering	-85.83	10.32
