event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
14314314013,true,2015-07-31 04:21:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314014,true,2015-07-31 19:20:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314015,true,2015-08-01 04:20:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314016,true,2015-08-01 19:22:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314017,true,2015-08-02 04:19:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314018,true,2015-08-02 19:14:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314019,true,2015-08-03 04:22:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314020,true,2015-08-03 19:09:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314021,true,2015-08-04 04:27:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314022,true,2015-08-04 19:11:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314023,true,2015-08-05 04:25:00.000,-70.09,41.8,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314024,true,2015-08-05 19:05:00.000,-70.09,41.81,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314025,true,2015-08-06 04:26:00.000,-70.09,41.82,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314026,true,2015-08-06 19:13:00.000,-70.09,41.82,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314027,true,2015-08-07 04:30:00.000,-70.09,41.83,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314028,true,2015-08-07 19:08:00.000,-70.09,41.83,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314029,true,2015-08-08 04:28:00.000,-70.09,41.83,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314030,true,2015-08-08 19:09:00.000,-70.09,41.83,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314031,true,2015-08-09 04:33:00.000,-70.09,41.84,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314032,true,2015-08-09 19:02:00.000,-70.09,41.84,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314033,true,2015-08-10 04:36:00.000,-70.11,41.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314034,true,2015-08-10 19:07:00.000,-70.11,41.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314035,true,2015-08-11 04:29:00.000,-70.12,41.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314036,true,2015-08-11 18:48:00.000,-70.11,41.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314037,true,2015-08-12 04:37:00.000,-70.15,41.97,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314038,true,2015-08-12 19:00:00.000,-70.16,41.99,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314039,true,2015-08-13 04:30:00.000,-70.31,42.23,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314040,true,2015-08-13 19:07:00.000,-70.46,42.47,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314041,true,2015-08-14 04:29:00.000,-70.58,42.68,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314042,true,2015-08-14 19:05:00.000,-70.74,42.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314043,true,2015-08-15 04:33:00.000,-70.86,43.1,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314044,true,2015-08-15 18:50:00.000,-70.95,43.23,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314045,true,2015-08-16 04:38:00.000,-70.96,43.29,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314046,true,2015-08-16 18:57:00.000,-70.94,43.31,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314047,true,2015-08-17 04:33:00.000,-70.95,43.36,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314048,true,2015-08-17 18:57:00.000,-70.97,43.42,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314049,true,2015-08-18 04:34:00.000,-70.97,43.43,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314050,true,2015-08-18 18:57:00.000,-70.97,43.42,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314051,true,2015-08-19 04:39:00.000,-70.97,43.42,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314052,true,2015-08-19 18:51:00.000,-70.97,43.42,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314053,true,2015-08-20 04:33:00.000,-70.97,43.43,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314054,true,2015-08-20 18:53:00.000,-70.97,43.43,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314055,true,2015-08-21 04:44:00.000,-71.0,43.45,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314056,true,2015-08-21 18:48:00.000,-71.05,43.5,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314057,true,2015-08-22 04:50:00.000,-71.04,43.49,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314058,true,2015-08-22 18:47:00.000,-71.04,43.48,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314059,true,2015-08-23 04:50:00.000,-71.01,43.45,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314060,true,2015-08-23 18:37:00.000,-70.97,43.46,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314061,true,2015-08-24 04:48:00.000,-70.96,43.47,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314062,true,2015-08-24 18:43:00.000,-70.8,43.57,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314063,true,2015-08-25 04:43:00.000,-70.72,43.71,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314064,true,2015-08-25 18:40:00.000,-70.86,43.66,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314065,true,2015-08-26 04:49:00.000,-70.87,43.65,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314314066,true,2015-08-26 18:43:00.000,-70.87,43.66,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
